iter	Passed	Remaining
0	1	176
1	3	163
2	4	160
3	6	149
4	7	146
5	9	143
6	10	141
7	12	141
8	13	139
9	15	137
10	16	135
11	18	133
12	19	131
13	21	130
14	22	127
15	23	124
16	24	121
17	26	119
18	27	117
19	28	114
20	29	111
21	30	109
22	32	107
23	33	105
24	34	103
25	35	102
26	37	100
27	38	99
28	39	97
29	41	96
30	42	94
31	43	92
32	44	90
33	45	89
34	47	87
35	48	85
36	49	84
37	50	82
38	52	81
39	53	79
40	54	78
41	55	76
42	56	74
43	57	72
44	58	71
45	59	70
46	60	68
47	62	67
48	63	65
49	64	64
50	65	62
51	66	61
52	67	60
53	69	59
54	70	57
55	71	56
56	72	54
57	74	53
58	75	52
59	76	50
60	77	49
61	78	48
62	80	47
63	81	45
64	82	44
65	83	43
66	85	41
67	86	40
68	87	39
69	88	38
70	89	36
71	91	35
72	92	34
73	93	32
74	94	31
75	96	30
76	97	29
77	98	27
78	99	26
79	101	25
80	102	23
81	103	22
82	104	21
83	105	20
84	107	18
85	108	17
86	109	16
87	110	15
88	111	13
89	113	12
90	114	11
91	115	10
92	117	8
93	118	7
94	119	6
95	120	5
96	121	3
97	122	2
98	124	1
99	125	0
