iter	Passed	Remaining
0	152	152058
1	152	76338
2	153	51004
3	154	38399
4	154	30829
5	155	25751
6	155	22121
7	156	19396
8	156	17283
9	157	15590
10	157	14202
11	158	13046
12	158	12068
13	159	11229
14	159	10501
15	160	9863
16	160	9302
17	161	8802
18	161	8354
19	162	7958
20	162	7593
21	163	7261
22	163	6958
23	164	6680
24	164	6425
25	165	6193
26	165	5975
27	166	5774
28	166	5586
29	167	5410
30	168	5259
31	168	5107
32	169	4962
33	169	4825
34	170	4697
35	170	4574
36	171	4458
37	171	4348
38	172	4244
39	172	4145
40	173	4050
41	173	3961
42	174	3875
43	174	3794
44	175	3716
45	175	3642
46	176	3570
47	176	3501
48	177	3436
49	177	3373
50	178	3313
51	178	3254
52	179	3198
53	179	3145
54	179	3092
55	180	3042
56	180	2993
57	181	2947
58	182	2911
59	183	2868
60	183	2825
61	184	2784
62	184	2745
63	185	2706
64	185	2669
65	186	2633
66	186	2598
67	187	2565
68	187	2532
69	188	2499
70	188	2467
71	189	2436
72	189	2407
73	190	2378
74	190	2350
75	191	2322
76	191	2295
77	191	2268
78	192	2244
79	193	2219
80	193	2195
81	193	2171
82	194	2145
83	194	2123
84	195	2101
85	195	2079
86	196	2058
87	197	2041
88	197	2023
89	198	2003
90	198	1984
91	199	1965
92	199	1946
93	200	1928
94	200	1911
95	201	1893
96	201	1876
97	202	1859
98	202	1843
99	203	1827
100	203	1811
101	204	1796
102	204	1781
103	205	1766
104	205	1752
105	206	1738
106	206	1724
107	207	1710
108	207	1697
109	208	1683
110	208	1671
111	209	1657
112	209	1644
113	210	1632
114	210	1620
115	211	1610
116	211	1599
117	212	1588
118	212	1576
119	213	1565
120	213	1554
121	214	1542
122	214	1532
123	215	1521
124	215	1510
125	216	1500
126	216	1489
127	217	1479
128	217	1470
129	218	1460
130	218	1450
131	219	1440
132	219	1431
133	220	1421
134	220	1412
135	220	1403
136	221	1394
137	221	1385
138	222	1376
139	222	1368
140	223	1359
141	223	1350
142	223	1342
143	224	1333
144	224	1325
145	225	1319
146	226	1315
147	227	1308
148	227	1300
149	228	1293
150	228	1285
151	229	1278
152	229	1271
153	230	1263
154	230	1256
155	230	1249
156	231	1242
157	231	1236
158	232	1229
159	232	1222
160	233	1214
161	233	1208
162	234	1201
163	234	1195
164	235	1189
165	235	1183
166	235	1176
167	236	1170
168	236	1164
169	237	1158
170	237	1153
171	238	1147
172	238	1141
173	239	1135
174	239	1130
175	240	1124
176	240	1120
177	241	1115
178	242	1110
179	242	1104
180	243	1099
181	243	1094
182	244	1089
183	244	1084
184	244	1078
185	245	1073
186	245	1068
187	246	1063
188	246	1059
189	247	1054
190	247	1049
191	248	1044
192	248	1039
193	249	1034
194	249	1030
195	250	1025
196	250	1020
197	250	1016
198	251	1011
199	251	1007
200	252	1002
201	252	998
202	253	993
203	253	989
204	254	985
205	254	980
206	254	976
207	256	975
208	256	971
209	257	967
210	257	963
211	258	959
212	258	955
213	259	951
214	259	947
215	259	943
216	260	939
217	260	935
218	261	932
219	261	928
220	262	924
221	262	920
222	263	917
223	263	913
224	264	909
225	264	906
226	265	902
227	265	899
228	266	895
229	266	892
230	267	888
231	267	885
232	267	881
233	268	878
234	268	875
235	269	871
236	269	868
237	271	868
238	271	864
239	272	861
240	272	858
241	272	855
242	273	851
243	273	848
244	274	845
245	274	842
246	275	839
247	275	836
248	276	833
249	276	829
250	277	826
251	277	823
252	278	820
253	278	817
254	278	814
255	279	811
256	279	809
257	280	806
258	280	803
259	281	800
260	281	798
261	282	795
262	282	792
263	283	789
264	283	786
265	284	783
266	284	781
267	285	779
268	285	777
269	286	774
270	286	771
271	287	769
272	287	766
273	288	763
274	288	761
275	289	758
276	289	756
277	290	753
278	290	750
279	291	748
280	291	745
281	291	743
282	292	740
283	292	738
284	293	735
285	293	733
